block,plot,bg,location,plants,seeds,im tillers,diseased,notes
10,5,S_Phigh,sub1,,7,,,
10,5,S_Phigh,sub2,1,6,,,
10,6,A_high,sub1,20,2,,,
10,6,A_high,sub1,,3,,,
10,6,A_high,sub1,,2,,,
10,6,A_high,sub1,,2,,,
10,6,A_high,sub1,,3,,,
10,6,A_high,sub1,,4,,,
10,6,A_high,sub1,,3,,,
10,6,A_high,sub1,,1,,,
10,6,A_high,sub1,,2,,,
10,6,A_high,sub1,,5,,,
10,6,A_high,sub1,,3,,,
10,6,A_high,sub1,,2,,,
10,6,A_high,sub1,,2,,,
10,6,A_high,sub1,,113,,,
10,6,A_high,sub2,42,3,,,
10,6,A_high,sub2,,1,,,
10,6,A_high,sub2,,2,,,
10,6,A_high,sub2,,2,,,
10,6,A_high,sub2,,3,,,
10,6,A_high,sub2,,2,,,
10,6,A_high,sub2,,3,,,
10,6,A_high,sub2,,1,,,
10,6,A_high,sub2,,4,,,
10,6,A_high,sub2,,5,,,
10,6,A_high,sub2,,3,,,
10,6,A_high,sub2,,2,,,
10,6,A_high,sub2,,,,1,
10,6,A_high,sub2,,3,,,
10,6,A_high,sub2,,3,,,
10,7,control,sub1,8,5,,,
10,7,control,sub1,,2,,,
10,7,control,sub1,,2,1,,
10,7,control,sub1,,2,,,
10,7,control,sub1,,2,,,
10,7,control,sub1,,3,,,
10,7,control,sub1,,2,,,
10,7,control,sub1,,2,,,
10,7,control,sub2,17,3,,,
10,7,control,sub2,,3,,,
10,7,control,sub2,,2,,,
10,7,control,sub2,,7,1,,
10,7,control,sub2,,3,,,
10,7,control,sub2,,2,,,
10,7,control,sub2,,2,,,
10,7,control,sub2,,2,,,
10,7,control,sub2,,5,,,
10,7,control,sub2,,4,,,
10,7,control,sub2,,2,,,
10,7,control,sub2,,5,,,
10,7,control,sub2,,2,,,
10,7,control,sub2,,4,,,
10,7,control,sub2,,3,,,
10,8,A_low,sub1,3,4,,,
10,8,A_low,sub1,,2,,,
10,8,A_low,sub1,,0,1,,
10,8,A_low,sub2,0,,,,
10,8,A_low,full,7,10,,,
10,8,A_low,full,,3,,,
10,8,A_low,full,,9,,,
10,8,A_low,full,,2,,,
10,8,A_low,full,,3,,,
10,8,A_low,full,,2,1,,
10,9,S_Phigh,sub1,1,0,1,,
10,9,S_Phigh,sub2,4,4,,,
10,9,S_Phigh,sub2,,3,,,
10,9,S_Phigh,sub2,,4,,,
10,9,S_Phigh,sub2,,4,,,
10,10,S_Phigh,sub1,2,13,,,gopher
10,10,S_Phigh,sub1,,3,,,
10,10,S_Phigh,sub2,0,,,,
10,10,S_Phigh,full,7,13,1,,
10,10,S_Phigh,full,,12,,,
10,10,S_Phigh,full,,6,,,
10,10,S_Phigh,full,,11,,,
11,1,control,sub1,0,,,,
11,1,control,sub2,0,,,,
11,1,control,full,3,9,,,
11,1,control,full,,1,,,
11,1,control,full,,4,,,
11,2,S_Plow,sub1,0,,,,
11,2,S_Plow,sub2,3,4,,,
11,2,S_Plow,sub2,,1,,,
11,2,S_Plow,sub2,,4,,,
11,2,S_Plow,full,15,4,,,
11,2,S_Plow,full,,8,,,
11,3,control,sub1,7,15,,,
11,3,control,sub1,,3,,,
11,3,control,sub1,,2,,,
11,3,control,sub1,,1,,,
11,3,control,sub1,,3,,,
11,3,control,sub1,,1,,,
11,3,control,sub1,,1,,,
11,3,control,sub2,3,18,,,
11,3,control,sub2,,18,,,
11,3,control,sub2,,7,,,
11,5,S_Phigh,sub1,3,11,,,
11,5,S_Phigh,sub1,,15,,,
11,5,S_Phigh,sub1,,15,,,
11,5,S_Phigh,sub2,4,7,,,
11,5,S_Phigh,sub2,,3,,,
11,5,S_Phigh,sub2,,6,,,
11,5,S_Phigh,sub2,,7,,,
11,7,A_low,sub1,39,9,,,gopher damage in sub2
11,7,A_low,sub1,,19,,,
11,7,A_low,sub1,,6,,,
11,7,A_low,sub1,,6,,,
11,7,A_low,sub1,,8,,,
11,7,A_low,sub1,,2,,,
11,7,A_low,sub1,,3,,,
11,7,A_low,sub1,,5,,,
11,7,A_low,sub1,,4,,,
11,7,A_low,sub1,,3,,,
11,7,A_low,sub1,,9,,,
11,7,A_low,sub1,,8,,,
11,7,A_low,sub1,,5,,,
11,7,A_low,sub1,,2,,,
11,7,A_low,sub1,,4,,,
11,7,A_low,sub2,22,10,,,
11,7,A_low,sub2,,10,,,
11,7,A_low,sub2,,1,,,
11,7,A_low,sub2,,4,,,
11,7,A_low,sub2,,12,,,
11,7,A_low,sub2,,6,,,
11,7,A_low,sub2,,7,,,
11,7,A_low,sub2,,5,,,
11,7,A_low,sub2,,8,,,
11,7,A_low,sub2,,5,,,
11,7,A_low,sub2,,2,,,
11,7,A_low,sub2,,4,,,
11,7,A_low,sub2,,7,,,
11,7,A_low,sub2,,29,,,
11,7,A_low,sub2,,17,,,
11,8,A_high,sub1,22,2,,,
11,8,A_high,sub1,,6,,,
11,8,A_high,sub1,,0,1,,
11,8,A_high,sub1,,4,,,
11,8,A_high,sub1,,8,1,,
11,8,A_high,sub1,,7,1,,
11,8,A_high,sub1,,10,,,
11,8,A_high,sub1,,5,,,
11,8,A_high,sub1,,4,,,
11,8,A_high,sub1,,1,,,
11,8,A_high,sub1,,2,,,
11,8,A_high,sub1,,3,,,
11,8,A_high,sub1,,4,,,
11,8,A_high,sub1,,16,,,
11,8,A_high,sub1,,5,,,
